			BELLA BEANS BONSTRUCTION

			HIGHSCORES

RANK			NAMES			SCORE
1st			KAP			452125434
2nd			FAH			203171555
3rd			---			0
4th			---			0
5th			---			0
6th			---			0
7th			---			0
8th			---			0
9th			---			0
10th			---			0
11th			---			0
12th			---			0
13th			---			0
14th			---			0
15th			---			0
16th			---			0
17th			---			0
18th			---			0
19th			---			0
20th			---			0
21st			---			0
22nd			---			0
23rd			---			0
24th			---			0
25th			---			0
26th			---			0
27th			---			0
28th			---			0
29th			---			0
30th			---			0
31st			---			0
32nd			---			0
33rd			---			0
34th			---			0
35th			---			0
36th			---			0
37th			---			0
38th			---			0
39th			---			0
40th			---			0
41st			---			0
42nd			---			0
43rd			---			0
44th			---			0
45th			---			0
46th			---			0
47th			---			0
48th			---			0
49th			---			0
50th			---			0
51st			---			0
52nd			---			0
53rd			---			0
54th			---			0
55th			---			0
56th			---			0
57th			---			0
58th			---			0
59th			---			0
60th			---			0
61st			---			0
62nd			---			0
63rd			---			0
64th			---			0
65th			---			0
66th			---			0
67th			---			0
68th			---			0
69th			---			0
70th			---			0
71st			---			0
72nd			---			0
73rd			---			0
74th			---			0
75th			---			0
76th			---			0
77th			---			0
78th			---			0
79th			---			0
80th			---			0
81st			---			0
82nd			---			0
83rd			---			0
84th			---			0
85th			---			0
86th			---			0
87th			---			0
88th			---			0
89th			---			0
90th			---			0
91st			---			0
92nd			---			0
93rd			---			0
94th			---			0
95th			---			0
96th			---			0
97th			---			0
98th			---			0
99th			---			0
100th			---			0
